Id,Expected
3250,acoustic
1741,jazz
5850,hip-hop
3014,rock
2323,electronic
4595,hip-hop
3702,hip-hop
5150,jazz
3635,rock
2434,hip-hop
2667,acoustic
637,acoustic
1430,electronic
4267,hip-hop
4066,classical
3708,hip-hop
1015,jazz
3491,acoustic
251,rock
2740,hip-hop
722,rock
202,hip-hop
4748,rock
3399,classical
1970,rock
5963,electronic
2012,classical
1870,acoustic
1910,electronic
5175,acoustic
3857,rock
217,jazz
824,classical
2057,acoustic
2156,hip-hop
5478,rock
350,rock
5453,acoustic
4819,acoustic
4880,jazz
3514,electronic
4197,rock
1731,rock
729,jazz
2079,classical
1937,classical
643,classical
225,electronic
3302,acoustic
1464,electronic
1773,electronic
3341,jazz
3916,electronic
4952,jazz
2403,electronic
5558,classical
1681,acoustic
4114,hip-hop
5063,rock
1054,electronic
4402,rock
2515,hip-hop
2913,electronic
1669,jazz
2218,jazz
1204,electronic
4770,hip-hop
2222,classical
5210,electronic
4145,jazz
2420,classical
4577,rock
877,rock
3374,rock
5376,electronic
1663,acoustic
851,classical
5305,acoustic
3308,acoustic
5997,jazz
5570,acoustic
5134,hip-hop
4222,classical
401,rock
5802,hip-hop
3309,acoustic
2745,jazz
3177,jazz
2365,classical
1592,rock
4072,classical
3427,classical
1524,classical
568,jazz
3582,classical
1349,acoustic
902,classical
1642,hip-hop
1121,hip-hop
3032,jazz
3878,jazz
505,acoustic
2081,hip-hop
957,rock
3957,acoustic
1189,jazz
3373,jazz
108,classical
2266,hip-hop
299,electronic
5858,classical
2953,hip-hop
4784,electronic
1284,hip-hop
2136,rock
3433,acoustic
145,acoustic
2119,electronic
5403,hip-hop
375,hip-hop
731,classical
5369,jazz
4167,electronic
3862,classical
170,acoustic
1529,electronic
1067,acoustic
2731,classical
3834,acoustic
4804,rock
4544,acoustic
1445,hip-hop
3831,hip-hop
4822,jazz
4336,rock
3030,electronic
3517,hip-hop
664,electronic
1846,classical
4284,classical
2327,electronic
3684,jazz
2505,classical
5905,acoustic
5930,hip-hop
2884,jazz
3583,acoustic
3006,rock
3947,rock
361,classical
4480,classical
3866,acoustic
1195,hip-hop
5700,jazz
3923,hip-hop
607,rock
737,acoustic
2796,acoustic
2382,hip-hop
1118,acoustic
2976,hip-hop
208,hip-hop
229,rock
785,hip-hop
328,jazz
3087,hip-hop
2026,jazz
5760,classical
2246,hip-hop
3319,classical
2637,electronic
5249,jazz
5669,classical
5283,hip-hop
5336,electronic
725,classical
3728,electronic
4980,classical
2643,classical
5041,hip-hop
5906,rock
2820,hip-hop
4792,rock
955,classical
4997,hip-hop
2955,jazz
4805,hip-hop
3403,hip-hop
606,jazz
1040,jazz
301,classical
5926,jazz
4142,electronic
4196,rock
1458,rock
4242,classical
2360,hip-hop
4586,classical
4733,rock
4820,jazz
4019,acoustic
3451,hip-hop
1266,jazz
4566,jazz
1756,electronic
5601,classical
4410,hip-hop
2612,rock
1035,acoustic
2712,acoustic
3015,rock
3083,electronic
2439,rock
5761,classical
1364,hip-hop
102,electronic
3344,jazz
549,rock
693,acoustic
114,jazz
3039,classical
640,classical
5060,jazz
398,electronic
3458,classical
319,classical
1280,electronic
3915,hip-hop
2304,electronic
1302,jazz
64,classical
1169,classical
1303,rock
5586,hip-hop
1619,jazz
2570,classical
4011,electronic
602,rock
3788,classical
4696,hip-hop
3759,classical
3395,rock
3291,acoustic
1850,classical
4800,hip-hop
468,classical
2208,electronic
4302,electronic
1078,classical
5893,rock
5902,acoustic
5299,electronic
4061,classical
2110,jazz
2523,electronic
2971,hip-hop
5895,hip-hop
1176,electronic
1420,rock
3934,jazz
5923,acoustic
4569,acoustic
4619,jazz
5830,rock
2294,rock
195,classical
1044,classical
4721,acoustic
589,hip-hop
5595,hip-hop
3486,electronic
2920,rock
4146,electronic
1178,rock
3305,rock
934,classical
4960,hip-hop
3266,rock
2316,electronic
2652,hip-hop
4556,acoustic
4767,electronic
3675,electronic
2539,classical
4558,classical
968,hip-hop
1011,electronic
523,classical
5560,classical
5385,acoustic
1875,rock
4177,acoustic
5465,hip-hop
3654,classical
1936,hip-hop
3568,hip-hop
5380,hip-hop
5488,hip-hop
873,jazz
5070,acoustic
4326,jazz
2879,classical
3231,rock
2668,electronic
5796,hip-hop
3199,jazz
1750,rock
1629,rock
5339,hip-hop
1920,jazz
4633,rock
1423,jazz
2702,acoustic
3950,electronic
1635,jazz
557,jazz
1898,classical
400,rock
2279,acoustic
5867,jazz
1520,rock
5710,rock
3824,rock
2992,jazz
5002,acoustic
595,rock
620,rock
1141,acoustic
1760,acoustic
5513,hip-hop
2744,classical
5006,acoustic
3134,electronic
2903,acoustic
5211,electronic
1732,acoustic
5942,jazz
5297,acoustic
5098,rock
3823,hip-hop
1277,rock
4571,rock
5650,rock
1708,jazz
1418,acoustic
2538,hip-hop
4033,hip-hop
935,rock
1664,acoustic
2274,classical
4314,hip-hop
1562,hip-hop
5284,jazz
2978,electronic
2413,hip-hop
133,jazz
1426,acoustic
5462,hip-hop
2728,jazz
2185,rock
4234,electronic
684,jazz
802,rock
2357,hip-hop
3269,acoustic
1764,hip-hop
4358,acoustic
629,rock
1959,jazz
2695,hip-hop
1092,rock
3252,classical
1526,rock
1730,hip-hop
3397,jazz
2064,electronic
2260,rock
1175,jazz
5803,hip-hop
2163,jazz
2586,hip-hop
5229,classical
876,rock
482,rock
4911,rock
1037,hip-hop
4983,acoustic
488,hip-hop
4436,rock
5755,classical
1667,classical
4806,classical
1868,acoustic
5383,classical
4413,hip-hop
3894,hip-hop
1522,hip-hop
515,hip-hop
5973,acoustic
5814,hip-hop
1990,jazz
4779,acoustic
3220,acoustic
937,hip-hop
4646,jazz
3438,classical
690,jazz
1285,acoustic
4618,jazz
3841,electronic
3816,jazz
442,acoustic
4898,rock
892,rock
138,jazz
3938,jazz
2689,hip-hop
5821,jazz
1120,hip-hop
734,hip-hop
5756,electronic
3733,classical
1537,hip-hop
3228,hip-hop
5151,jazz
3384,hip-hop
4020,classical
455,rock
4356,acoustic
3889,electronic
4973,hip-hop
3810,electronic
2537,hip-hop
3477,hip-hop
3478,rock
1001,classical
4904,acoustic
3534,jazz
3686,hip-hop
4007,rock
2723,rock
2249,classical
5481,hip-hop
2736,classical
2059,jazz
311,classical
3836,acoustic
2956,rock
3661,acoustic
2914,rock
2143,electronic
3941,hip-hop
1496,electronic
5145,rock
3803,rock
1957,electronic
5698,hip-hop
3025,electronic
2450,jazz
27,acoustic
1296,electronic
4253,acoustic
2473,jazz
1721,classical
3833,jazz
2410,electronic
5271,acoustic
4120,hip-hop
1715,jazz
3018,rock
334,jazz
1063,rock
5004,hip-hop
3007,hip-hop
662,acoustic
5176,hip-hop
526,classical
970,hip-hop
1179,rock
4318,hip-hop
3819,hip-hop
5625,jazz
2741,hip-hop
1506,rock
4891,jazz
164,rock
1368,classical
4522,rock
357,rock
4056,rock
1252,classical
3770,jazz
3035,acoustic
5546,jazz
293,classical
2301,acoustic
2223,acoustic
2780,rock
2797,rock
1821,hip-hop
689,classical
4054,hip-hop
4047,jazz
1137,acoustic
148,acoustic
1530,acoustic
5272,acoustic
4240,hip-hop
5880,rock
2177,acoustic
5117,rock
5141,acoustic
4130,rock
276,acoustic
12,hip-hop
4685,hip-hop
661,jazz
4360,acoustic
5084,acoustic
1565,electronic
4967,electronic
61,hip-hop
2832,rock
171,classical
966,rock
2910,jazz
5832,acoustic
749,hip-hop
1229,jazz
886,electronic
5032,jazz
2959,classical
2398,jazz
4448,hip-hop
3707,classical
4749,electronic
826,electronic
2626,rock
3254,jazz
1982,hip-hop
3010,electronic
492,electronic
3873,rock
4592,rock
5081,acoustic
2237,electronic
5412,electronic
4018,rock
1170,electronic
2793,jazz
1155,acoustic
4244,acoustic
5908,hip-hop
4589,hip-hop
4936,classical
1013,hip-hop
3920,acoustic
3332,acoustic
5892,rock
1913,classical
4048,acoustic
247,electronic
1541,rock
5544,jazz
5695,rock
5292,classical
439,acoustic
1828,electronic
4642,acoustic
304,acoustic
5225,rock
2139,rock
772,classical
4785,acoustic
5281,acoustic
3755,classical
4579,classical
3469,classical
4879,rock
3449,hip-hop
5442,acoustic
4035,rock
2297,jazz
1757,acoustic
434,jazz
5324,acoustic
2864,acoustic
5553,rock
273,jazz
5252,rock
3290,jazz
2437,classical
4456,rock
2775,hip-hop
130,acoustic
2725,hip-hop
38,rock
2534,jazz
1393,rock
5998,rock
5600,acoustic
2446,acoustic
3925,classical
4382,acoustic
85,rock
5938,jazz
724,jazz
1000,rock
3896,hip-hop
2303,rock
1620,classical
5991,rock
754,electronic
585,rock
5776,jazz
2941,rock
4935,acoustic
1239,electronic
4106,rock
1677,classical
3064,jazz
5629,hip-hop
3435,jazz
5162,jazz
5217,jazz
5034,rock
2651,classical
4185,classical
332,acoustic
1797,rock
1685,classical
525,classical
5928,rock
3342,classical
1356,rock
5243,jazz
3187,hip-hop
1135,classical
2361,jazz
1800,acoustic
4901,rock
5362,acoustic
4137,acoustic
416,electronic
3496,hip-hop
2591,rock
244,rock
2123,acoustic
5443,rock
556,classical
2252,acoustic
4695,classical
388,hip-hop
717,electronic
705,acoustic
463,jazz
2569,acoustic
5822,rock
3949,acoustic
5565,jazz
471,acoustic
3559,rock
2044,hip-hop
45,hip-hop
3259,rock
4892,jazz
3325,rock
5317,electronic
2174,electronic
5102,electronic
735,jazz
1271,rock
2781,jazz
5798,rock
1096,hip-hop
612,hip-hop
2056,classical
5325,rock
5262,acoustic
2817,classical
4758,hip-hop
5728,classical
532,classical
2940,classical
1257,jazz
4274,jazz
233,hip-hop
1590,jazz
1131,rock
2395,jazz
3730,hip-hop
2472,rock
3637,acoustic
859,acoustic
3771,hip-hop
3618,jazz
3326,classical
3562,jazz
1335,electronic
619,classical
1191,acoustic
5047,acoustic
5915,classical
1582,electronic
4553,jazz
3084,jazz
5735,rock
2770,hip-hop
2653,jazz
1906,electronic
1481,classical
4610,rock
2499,electronic
4042,rock
5310,rock
3378,hip-hop
1371,jazz
5924,jazz
3209,hip-hop
3244,classical
5747,classical
860,jazz
1861,jazz
3676,hip-hop
2051,rock
4622,jazz
5107,hip-hop
10,acoustic
222,rock
51,classical
3185,electronic
3850,electronic
1293,rock
3077,jazz
4903,acoustic
5640,electronic
2886,hip-hop
1578,acoustic
1340,hip-hop
2219,electronic
486,classical
633,classical
701,classical
1591,electronic
5977,classical
2477,hip-hop
1397,rock
3508,hip-hop
2564,jazz
1696,rock
1727,electronic
3807,acoustic
1168,jazz
2568,acoustic
2336,hip-hop
1167,rock
2946,rock
256,acoustic
308,jazz
4732,classical
2117,acoustic
1887,hip-hop
5416,classical
2321,acoustic
4471,acoustic
5724,acoustic
4220,classical
1716,classical
4759,jazz
3596,acoustic
2167,rock
5730,hip-hop
2200,hip-hop
2426,classical
4587,acoustic
3790,jazz
1777,electronic
5055,rock
3773,hip-hop
4675,rock
288,jazz
782,classical
3049,hip-hop
1641,hip-hop
2104,acoustic
552,classical
4501,classical
1934,acoustic
964,electronic
5690,jazz
4118,rock
3624,rock
3022,acoustic
563,jazz
4986,electronic
4763,acoustic
3674,jazz
39,rock
5394,classical
5936,hip-hop
755,hip-hop
5838,electronic
4814,hip-hop
5591,rock
4848,hip-hop
2369,jazz
2777,acoustic
1840,classical
2356,hip-hop
3642,electronic
5386,classical
1106,rock
1042,hip-hop
2815,acoustic
4856,hip-hop
5969,electronic
4568,jazz
5621,rock
1519,jazz
83,acoustic
4378,electronic
84,rock
4957,electronic
2916,jazz
2102,rock
4364,classical
2982,electronic
1449,electronic
1122,jazz
1056,acoustic
1661,jazz
5373,hip-hop
274,hip-hop
4938,hip-hop
3706,hip-hop
3799,electronic
4979,acoustic
4111,rock
2024,classical
2429,rock
109,hip-hop
101,classical
317,classical
5888,electronic
1637,classical
2790,rock
3331,hip-hop
3867,rock
3760,acoustic
3775,hip-hop
3502,jazz
3787,hip-hop
268,jazz
5137,rock
1275,hip-hop
2767,hip-hop
3767,rock
5334,hip-hop
3601,hip-hop
5873,electronic
5031,classical
2417,classical
3877,jazz
5575,rock
292,acoustic
2099,rock
4776,hip-hop
5413,acoustic
553,classical
5825,classical
1134,jazz
287,electronic
3758,jazz
2650,rock
129,classical
5754,classical
1415,rock
5198,hip-hop
1046,classical
4095,rock
5623,hip-hop
4386,classical
5696,jazz
1437,hip-hop
5415,hip-hop
5522,acoustic
3210,jazz
1631,jazz
4040,hip-hop
1093,jazz
2875,jazz
4370,jazz
1926,electronic
4565,electronic
5398,classical
1060,classical
254,classical
1109,acoustic
1599,hip-hop
5401,hip-hop
2283,rock
1770,hip-hop
1795,hip-hop
2134,rock
5322,classical
4339,acoustic
542,electronic
1427,classical
5057,acoustic
4096,jazz
2662,classical
3426,acoustic
5242,classical
3350,classical
4727,classical
5693,hip-hop
5108,rock
3322,classical
2493,hip-hop
3607,hip-hop
5131,classical
5228,electronic
3525,rock
121,classical
5642,classical
796,classical
2945,jazz
3511,classical
4724,hip-hop
5372,hip-hop
3212,rock
5904,hip-hop
3245,acoustic
5868,acoustic
2149,classical
485,jazz
3955,electronic
1051,acoustic
4498,classical
2122,hip-hop
4689,rock
4453,jazz
5220,hip-hop
4005,classical
425,hip-hop
480,classical
5676,acoustic
3323,jazz
3940,hip-hop
2468,rock
3442,electronic
4736,jazz
2776,rock
2995,electronic
5158,classical
4239,classical
1772,acoustic
1123,jazz
2310,acoustic
1627,jazz
4871,jazz
5212,hip-hop
781,electronic
2379,hip-hop
1617,jazz
829,jazz
1428,rock
2132,electronic
3652,classical
5484,jazz
2209,rock
4851,hip-hop
1952,hip-hop
5527,hip-hop
4366,hip-hop
112,rock
740,hip-hop
1791,classical
1157,classical
1359,jazz
1912,electronic
1457,hip-hop
2251,jazz
3237,rock
1358,rock
2644,jazz
3430,rock
5875,rock
4026,jazz
1928,hip-hop
5213,electronic
1610,acoustic
4866,jazz
3667,hip-hop
4259,hip-hop
4787,electronic
3815,jazz
124,electronic
147,classical
5983,acoustic
1185,acoustic
5535,electronic
3214,hip-hop
5534,jazz
3991,rock
687,acoustic
5588,hip-hop
284,electronic
2526,jazz
1355,rock
5918,hip-hop
2504,jazz
380,hip-hop
4547,classical
5382,acoustic
3313,rock
4296,jazz
4446,acoustic
2040,rock
4636,classical
3538,classical
456,rock
1402,acoustic
1514,acoustic
678,classical
4329,rock
4451,acoustic
2090,acoustic
5715,hip-hop
4876,rock
2654,hip-hop
4737,hip-hop
4328,hip-hop
1645,jazz
3251,jazz
5474,classical
4551,classical
1674,jazz
5037,classical
2148,electronic
360,hip-hop
4793,jazz
5469,rock
4626,acoustic
3031,hip-hop
4428,acoustic
2547,hip-hop
976,electronic
801,electronic
5824,electronic
2791,rock
1493,classical
522,acoustic
5439,acoustic
2851,hip-hop
3746,hip-hop
3763,classical
3570,hip-hop
591,hip-hop
5851,hip-hop
2010,jazz
261,jazz
1338,jazz
881,classical
4245,jazz
5166,jazz
4171,rock
4628,hip-hop
4883,rock
551,rock
1646,jazz
4835,jazz
1905,electronic
5285,classical
1873,electronic
1283,acoustic
4944,hip-hop
4869,classical
5753,acoustic
3672,rock
4943,acoustic
5430,classical
3347,electronic
1964,hip-hop
5189,electronic
5683,hip-hop
880,jazz
2087,rock
3681,classical
4353,rock
941,classical
653,jazz
5400,classical
1211,acoustic
5914,classical
665,acoustic
2172,acoustic
4527,electronic
1038,rock
2648,electronic
5495,classical
2909,electronic
5774,electronic
5043,rock
2533,jazz
2322,jazz
1027,acoustic
5304,hip-hop
1687,rock
1915,acoustic
4403,jazz
3500,hip-hop
751,acoustic
531,jazz
2873,hip-hop
1049,acoustic
4246,jazz
5156,acoustic
3355,rock
4956,rock
4102,acoustic
1253,classical
5764,classical
783,hip-hop
1932,acoustic
2306,electronic
517,electronic
6,classical
863,acoustic
1581,hip-hop
1650,hip-hop
481,hip-hop
50,acoustic
1304,hip-hop
2896,jazz
1074,jazz
3600,rock
3888,acoustic
2390,jazz
5496,acoustic
1212,acoustic
2228,rock
1062,jazz
4670,electronic
5463,jazz
3257,hip-hop
5946,rock
4127,electronic
3060,classical
951,jazz
2907,rock
383,electronic
2293,acoustic
5954,acoustic
3068,rock
3874,rock
5360,classical
2191,jazz
3744,hip-hop
1668,classical
698,electronic
5072,electronic
805,hip-hop
1978,jazz
4859,electronic
842,hip-hop
4254,rock
621,classical
25,jazz
5319,rock
282,hip-hop
4077,acoustic
4124,classical
4602,rock
1595,classical
4885,hip-hop
4644,classical
3485,rock
5311,rock
1808,acoustic
4700,electronic
11,acoustic
3892,electronic
1306,electronic
2092,classical
5246,hip-hop
1256,classical
1315,acoustic
766,classical
215,hip-hop
959,electronic
3710,electronic
5023,jazz
3381,acoustic
5370,hip-hop
1199,classical
3922,jazz
3747,electronic
5277,jazz
5071,acoustic
5268,electronic
5641,acoustic
1947,jazz
4324,rock
1733,acoustic
4985,classical
670,acoustic
5312,rock
4890,jazz
925,acoustic
1885,classical
5645,hip-hop
938,electronic
3120,electronic
1583,jazz
4546,jazz
5223,classical
5056,acoustic
3548,acoustic
1588,hip-hop
3191,hip-hop
2329,electronic
3656,jazz
5835,hip-hop
3907,acoustic
953,jazz
5711,rock
610,acoustic
3837,acoustic
3329,acoustic
758,rock
1192,acoustic
5891,hip-hop
2483,acoustic
2215,electronic
1153,hip-hop
4780,acoustic
4257,rock
3683,rock
3019,hip-hop
2706,classical
5000,hip-hop
426,hip-hop
5318,rock
1384,hip-hop
2979,jazz
5530,acoustic
1240,hip-hop
5694,classical
2364,jazz
2660,hip-hop
3800,jazz
3141,jazz
448,jazz
4121,hip-hop
5278,hip-hop
1486,rock
3783,electronic
771,electronic
3749,hip-hop
1508,electronic
2985,electronic
4799,acoustic
5890,hip-hop
3481,hip-hop
546,rock
667,classical
0,classical
1322,classical
4726,acoustic
2842,acoustic
3722,classical
2176,hip-hop
2173,electronic
1907,jazz
788,rock
5039,electronic
4946,acoustic
2674,rock
1616,rock
3011,acoustic
4949,rock
3567,jazz
4169,jazz
2022,hip-hop
2876,jazz
5637,jazz
1748,hip-hop
4161,classical
2502,acoustic
510,jazz
4385,hip-hop
393,classical
3870,classical
1653,acoustic
704,hip-hop
1540,rock
1308,classical
5273,rock
2679,electronic
3234,rock
2684,hip-hop
5848,electronic
2375,classical
2996,acoustic
5012,classical
4159,electronic
4460,electronic
1328,hip-hop
2620,rock
1841,rock
5267,electronic
5894,rock
773,rock
5014,jazz
1017,electronic
5459,electronic
5737,jazz
2952,electronic
4514,electronic
3871,hip-hop
566,jazz
861,acoustic
2704,rock
363,classical
156,classical
1316,jazz
96,classical
3615,acoustic
2331,jazz
3206,acoustic
4707,jazz
912,acoustic
5191,electronic
3472,electronic
1973,rock
1593,jazz
4659,hip-hop
1246,hip-hop
5219,classical
5682,classical
624,rock
969,hip-hop
3785,classical
4421,hip-hop
1589,electronic
4372,acoustic
5514,hip-hop
2948,acoustic
2981,acoustic
4815,rock
4420,hip-hop
3176,hip-hop
4076,rock
408,jazz
3441,hip-hop
2101,rock
4192,acoustic
4634,electronic
3179,electronic
649,jazz
5042,classical
4131,hip-hop
4363,electronic
278,rock
2938,rock
3454,classical
5521,jazz
719,jazz
1854,hip-hop
4168,acoustic
2226,classical
2828,jazz
4722,jazz
4401,rock
437,acoustic
1768,rock
2604,jazz
5783,classical
812,rock
971,acoustic
1987,acoustic
2865,hip-hop
5049,hip-hop
1231,rock
2220,electronic
1872,hip-hop
378,hip-hop
478,classical
1163,rock
4734,electronic
4489,classical
1523,acoustic
3910,electronic
3930,hip-hop
269,rock
2882,acoustic
569,acoustic
67,hip-hop
2629,rock
1,hip-hop
3963,rock
4160,electronic
4483,hip-hop
2672,acoustic
4832,rock
1896,jazz
2242,rock
2951,electronic
5845,electronic
4834,rock
5506,hip-hop
3978,jazz
5740,rock
3891,rock
432,electronic
3148,classical
5990,jazz
3985,acoustic
33,classical
5020,jazz
5685,acoustic
583,hip-hop
960,electronic
1997,electronic
810,acoustic
3,rock
157,jazz
1879,jazz
2805,rock
1245,hip-hop
2008,electronic
2347,classical
580,hip-hop
5458,electronic
307,electronic
2447,acoustic
562,acoustic
2135,hip-hop
3832,electronic
4893,hip-hop
5437,jazz
1682,hip-hop
1055,acoustic
2639,classical
5587,electronic
1909,jazz
3393,acoustic
2409,rock
3188,hip-hop
1036,hip-hop
5114,rock
3917,jazz
4837,hip-hop
4215,jazz
2993,classical
3737,rock
4720,classical
1889,rock
3042,hip-hop
4645,acoustic
5787,classical
4062,jazz
581,jazz
4419,acoustic
2967,jazz
3452,electronic
3440,hip-hop
2701,hip-hop
2494,hip-hop
1935,acoustic
3154,acoustic
2066,jazz
73,electronic
2810,jazz
5667,rock
399,jazz
909,jazz
1190,rock
3586,acoustic
2161,hip-hop
1917,rock
3073,electronic
1234,classical
3705,rock
4509,acoustic
4584,jazz
5876,classical
213,electronic
3169,classical
4818,rock
3741,classical
577,electronic
2872,classical
4237,acoustic
2340,classical
4576,classical
1919,classical
4338,acoustic
5241,classical
4384,acoustic
3959,jazz
547,electronic
3293,classical
5448,jazz
1330,hip-hop
63,jazz
4961,electronic
3944,jazz
5909,hip-hop
5840,hip-hop
2863,classical
3625,electronic
3577,hip-hop
3648,hip-hop
3483,rock
848,acoustic
1765,classical
1443,hip-hop
3497,hip-hop
2203,hip-hop
947,electronic
559,acoustic
3413,acoustic
4554,classical
4954,classical
3599,acoustic
5795,jazz
1251,acoustic
2762,jazz
5046,classical
2503,acoustic
5103,electronic
4612,rock
3111,rock
4387,hip-hop
1836,electronic
4417,classical
1835,electronic
3156,hip-hop
1454,hip-hop
3394,classical
